Time,asks,bids
2015-10-22 00:00:00 UTC,2311057.829,2266781.092
2015-10-23 00:00:00 UTC,2605988.182,2133942.131
2015-10-24 00:00:00 UTC,2790829.7,2170256.034
2015-10-25 00:00:00 UTC,2742780.225,2575906.755
2015-10-26 00:00:00 UTC,2817027.666,2333430.961
2015-10-27 00:00:00 UTC,2522912.352,2776648.99
2015-10-28 00:00:00 UTC,2982104.684,3387363.434
2015-10-29 00:00:00 UTC,2550526.418,2211853.797
2015-10-30 00:00:00 UTC,1908260.275,2387011.427
2015-10-31 00:00:00 UTC,3009796.691,2499063.997
2015-11-01 00:00:00 UTC,2452392.684,2591628.212
2015-11-02 00:00:00 UTC,2560721.94,2871446.848
2015-11-03 00:00:00 UTC,2182545.288,2231614.874
2015-11-04 00:00:00 UTC,2093637.968,2160457.386
2015-11-05 00:00:00 UTC,1912751.911,1944983.597
2015-11-06 00:00:00 UTC,1907486.74,2781278.82
2015-11-07 00:00:00 UTC,1758681.604,3199186.355
2015-11-08 00:00:00 UTC,1996696.03,3541012.842
2015-11-09 00:00:00 UTC,1978095.593,2971858.089
2015-11-10 00:00:00 UTC,2041539.737,3230134.862
2015-11-11 00:00:00 UTC,1599025.479,3393792.832
2015-11-12 00:00:00 UTC,1916793.732,2946694.282
2015-11-13 00:00:00 UTC,2337215.934,3054391.832
2015-11-14 00:00:00 UTC,2275444.058,3060883.22
2015-11-15 00:00:00 UTC,2154497.002,3494930.93
2015-11-16 00:00:00 UTC,2290915.551,3763476.82
2015-11-17 00:00:00 UTC,2664928.313,2709689.833
2015-11-18 00:00:00 UTC,3111380.747,2958401.446
2015-11-19 00:00:00 UTC,3122757.249,3300680.605
2015-11-20 00:00:00 UTC,2798650.703,3687578.416
2015-11-21 00:00:00 UTC,2699583.954,3966149.347
2015-11-22 00:00:00 UTC,2539697.039,4313351.212
2015-11-23 00:00:00 UTC,2685957.064,4165222.452
2015-11-24 00:00:00 UTC,2808232.844,3978374.652
2015-11-25 00:00:00 UTC,2746568.398,4195158.406
2015-11-26 00:00:00 UTC,2139534.472,3034402.322
2015-11-27 00:00:00 UTC,2613175.619,2656105.981
2015-11-28 00:00:00 UTC,3166783.366,3095883.937
2015-11-29 00:00:00 UTC,3316603.002,2701787.456
2015-11-30 00:00:00 UTC,3897690.44,2188895.381
2015-12-01 00:00:00 UTC,3345379.79,2546274.097
2015-12-02 00:00:00 UTC,2772120.953,2642252.592
2015-12-03 00:00:00 UTC,3216883.13,2367321.557
2015-12-04 00:00:00 UTC,3230882.543,2450351.746
2015-12-05 00:00:00 UTC,3168462.778,2546683.135
2015-12-06 00:00:00 UTC,2848530.128,2862586.728
2015-12-07 00:00:00 UTC,3015956.199,2970906.176
2015-12-08 00:00:00 UTC,3385871.252,3106411.814
2015-12-09 00:00:00 UTC,3594697.325,3333578.778
2015-12-10 00:00:00 UTC,3722437.63,3080841.662
2015-12-11 00:00:00 UTC,3057444.519,3453507.121
2015-12-12 00:00:00 UTC,2613339.673,2903832.489
2015-12-13 00:00:00 UTC,3412680.492,2814524.566
2015-12-14 00:00:00 UTC,4309586.767,3112042.773
2015-12-15 00:00:00 UTC,6105288.651,2641361.775
2015-12-16 00:00:00 UTC,4756561.006,3516816.632
2015-12-17 00:00:00 UTC,5356840.921,3472552.514
2015-12-18 00:00:00 UTC,4590724.876,4092282.144
2015-12-19 00:00:00 UTC,4380050.685,4526481.299
2015-12-20 00:00:00 UTC,4705845.754,4222972.822
2015-12-21 00:00:00 UTC,3872301.083,3617210.158
2015-12-22 00:00:00 UTC,3477780.194,3660738.282
2015-12-23 00:00:00 UTC,3863129.966,3793868.857
2015-12-24 00:00:00 UTC,4241083.971,3728048.824
2015-12-25 00:00:00 UTC,4817131.986,3971239.142
