Time,
2017-04-21 00:00:00 UTC,975939.3233532935
2017-04-22 00:00:00 UTC,973032.5103448275
2017-04-23 00:00:00 UTC,947631.0653594771
2017-04-24 00:00:00 UTC,963089.9032258064
2017-04-25 00:00:00 UTC,966226.288590604
2017-04-26 00:00:00 UTC,971854.8823529412
2017-04-27 00:00:00 UTC,967617.9795918367
2017-04-28 00:00:00 UTC,996674.5367647059
2017-04-29 00:00:00 UTC,971570.3121387283
2017-04-30 00:00:00 UTC,972065.6907894737
2017-05-01 00:00:00 UTC,977420.8933333333
2017-05-02 00:00:00 UTC,980238.1265822785
2017-05-03 00:00:00 UTC,995290.8712121212
2017-05-04 00:00:00 UTC,971046.744047619
2017-05-05 00:00:00 UTC,961245.8682170543
2017-05-06 00:00:00 UTC,964933.1726190476
2017-05-07 00:00:00 UTC,964836.4431137724
2017-05-08 00:00:00 UTC,968144.1555555556
2017-05-09 00:00:00 UTC,987786.5225806452
2017-05-10 00:00:00 UTC,960165.7905405406
2017-05-11 00:00:00 UTC,961242.6962962963
2017-05-12 00:00:00 UTC,954580.5194805195
2017-05-13 00:00:00 UTC,955361.0754716981
2017-05-14 00:00:00 UTC,975085.6585365854
2017-05-15 00:00:00 UTC,970872.918128655
2017-05-16 00:00:00 UTC,974142.3007518797
2017-05-17 00:00:00 UTC,981881.9419354838
2017-05-18 00:00:00 UTC,974609.4929577465
2017-05-19 00:00:00 UTC,971260.8170731707
2017-05-20 00:00:00 UTC,967212.9272727272
2017-05-21 00:00:00 UTC,990363.7006802721
2017-05-22 00:00:00 UTC,966800.3972602739
2017-05-23 00:00:00 UTC,978685.1666666666
2017-05-24 00:00:00 UTC,970548.1688311688
2017-05-25 00:00:00 UTC,976875.7668711656
2017-05-26 00:00:00 UTC,958775.2679738562
2017-05-27 00:00:00 UTC,991460.9166666666
2017-05-28 00:00:00 UTC,977982.1393939394
2017-05-29 00:00:00 UTC,977900.7417218543
2017-05-30 00:00:00 UTC,980603.1173184358
2017-05-31 00:00:00 UTC,976696.4512195121
2017-06-01 00:00:00 UTC,977746.6411764706
2017-06-02 00:00:00 UTC,981988.6164383561
2017-06-03 00:00:00 UTC,981052.4635416666
