Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-04-21 00:00:00 UTC,7.650337040809275e+16,8.415370744890203e+17,4.5902022244855654e+17,1.530067408161855e+17,4.5902022244855654e+17,7.650337040809275e+16,1.0200449387745701e+17,2.0400898775491402e+17,1.7850786428554976e+17,4.0801797550982803e+17,1.2750561734682126e+17,3.8251685204046374e+17,2.0400898775491402e+17,1.7850786428554976e+17,4.08017975509828e+17
2017-04-22 00:00:00 UTC,1.8160304129703062e+17,7.264121651881225e+17,2.3348962452475366e+17,2.0754633291089213e+17,3.3726279098019974e+17,1.8160304129703062e+17,2.5943291613861517e+17,3.3726279098019974e+17,7.782987484158454e+16,3.6320608259406125e+17,5.188658322772303e+16,2.0754633291089213e+17,1.2971645806930758e+17,1.556597496831691e+17,3.113194993663382e+17
2017-04-23 00:00:00 UTC,2.3320562653370704e+17,6.477934070380751e+17,4.145877805043681e+17,1.0364694512609203e+17,2.3320562653370704e+17,2.0729389025218406e+17,1.8138215397066102e+17,2.8502909909675306e+17,7.773520884456902e+16,4.664112530674141e+17,7.773520884456902e+16,2.5911736281523008e+17,1.8138215397066102e+17,2.8502909909675306e+17,3.109408353782761e+17
2017-04-24 00:00:00 UTC,2.073227097563548e+17,4.146454195127096e+17,1.8140737103681046e+17,1.554920323172661e+17,2.850687259149879e+17,2.332380484758992e+17,1.036613548781774e+17,4.146454195127096e+17,1.036613548781774e+17,2.5915338719544352e+17,1.036613548781774e+17,1.036613548781774e+17,7.774601615863306e+16,1.2957669359772176e+17,4.4056075823225395e+17
2017-04-25 00:00:00 UTC,2.5801448137017716e+16,6.966390996994784e+17,5.1602896274035437e+17,1.548086888221063e+17,2.5801448137017718e+17,1.548086888221063e+17,1.548086888221063e+17,3.6122027391824806e+17,1.2900724068508859e+17,3.870217220552657e+17,5.160289627403543e+16,2.5801448137017718e+17,1.548086888221063e+17,2.322130332331595e+17,3.096173776442126e+17
2017-04-26 00:00:00 UTC,7.751252845792333e+16,5.942627181774122e+17,3.8756264228961664e+17,2.5837509485974445e+17,2.3253758537377e+17,2.3253758537377e+17,2.3253758537377e+17,4.134001517755911e+17,1.5502505691584666e+17,3.617251328036422e+17,,1.2918754742987222e+17,4.392376612615655e+17,2.0670007588779555e+17,2.3253758537377e+17
2017-04-27 00:00:00 UTC,1.299461065422745e+17,5.19784426169098e+17,3.1187065570145875e+17,1.819245491591843e+17,4.6780598355218816e+17,1.0395688523381958e+17,2.0791377046763917e+17,3.898383196268235e+17,7.796766392536469e+16,5.19784426169098e+17,2.5989221308454896e+16,2.59892213084549e+17,4.937952048606431e+17,7.796766392536469e+16,5.197844261690979e+16
2017-04-28 00:00:00 UTC,2.3356258948051478e+17,5.449793754545345e+17,2.595139883116831e+17,5.1902797662336616e+16,4.930765777921979e+17,1.8165979181817814e+17,,2.595139883116831e+17,1.2975699415584155e+17,4.4117378012986125e+17,1.5570839298700986e+17,1.5570839298700986e+17,3.114167859740197e+17,2.595139883116831e+17,5.1902797662336616e+16
2017-04-29 00:00:00 UTC,1.3035757427276387e+17,8.08216960491136e+17,3.389296931091861e+17,2.867866634000805e+17,2.867866634000805e+17,3.389296931091861e+17,7.821454456365832e+16,3.650012079637388e+17,1.3035757427276387e+17,3.910727228182916e+17,2.6071514854552772e+16,2.6071514854552774e+17,6.257163565092666e+17,3.389296931091861e+17,1.0428605941821109e+17
2017-04-30 00:00:00 UTC,1.0209663752020947e+17,7.912489407816234e+17,4.083865500808379e+17,2.5524159380052368e+17,4.339107094608903e+17,1.531449562803142e+17,1.0209663752020947e+17,4.84959028220995e+17,5.104831876010474e+16,2.5524159380052368e+17,2.552415938005237e+16,2.5524159380052368e+17,3.573382313207331e+17,1.0209663752020947e+17,1.0209663752020947e+17
