Time,
2017-04-21 00:00:00 UTC,330354.0
2017-04-22 00:00:00 UTC,268712.0
2017-04-23 00:00:00 UTC,245039.0
2017-04-24 00:00:00 UTC,222671.0
2017-04-25 00:00:00 UTC,327311.0
2017-04-26 00:00:00 UTC,334471.0
2017-04-27 00:00:00 UTC,297884.0
2017-04-28 00:00:00 UTC,305271.0
2017-04-29 00:00:00 UTC,341319.0
2017-04-30 00:00:00 UTC,284080.0
2017-05-01 00:00:00 UTC,294786.0
2017-05-02 00:00:00 UTC,333161.0
2017-05-03 00:00:00 UTC,295149.0
2017-05-04 00:00:00 UTC,354737.0
2017-05-05 00:00:00 UTC,267193.0
2017-05-06 00:00:00 UTC,363022.0
2017-05-07 00:00:00 UTC,316011.0
2017-05-08 00:00:00 UTC,365096.0
2017-05-09 00:00:00 UTC,332879.0
2017-05-10 00:00:00 UTC,311391.0
2017-05-11 00:00:00 UTC,294743.0
2017-05-12 00:00:00 UTC,317698.0
2017-05-13 00:00:00 UTC,330152.0
2017-05-14 00:00:00 UTC,369098.0
2017-05-15 00:00:00 UTC,331243.0
2017-05-16 00:00:00 UTC,235183.0
2017-05-17 00:00:00 UTC,317527.0
2017-05-18 00:00:00 UTC,288904.0
2017-05-19 00:00:00 UTC,319502.0
2017-05-20 00:00:00 UTC,352805.0
2017-05-21 00:00:00 UTC,326057.0
2017-05-22 00:00:00 UTC,327868.0
2017-05-23 00:00:00 UTC,367710.0
2017-05-24 00:00:00 UTC,338642.0
2017-05-25 00:00:00 UTC,350114.0
2017-05-26 00:00:00 UTC,333340.0
2017-05-27 00:00:00 UTC,331914.0
2017-05-28 00:00:00 UTC,308143.0
2017-05-29 00:00:00 UTC,321638.0
2017-05-30 00:00:00 UTC,347961.0
2017-05-31 00:00:00 UTC,321634.0
2017-06-01 00:00:00 UTC,319709.0
2017-06-02 00:00:00 UTC,271539.0
2017-06-03 00:00:00 UTC,305320.0
2017-06-04 00:00:00 UTC,266044.0
2017-06-05 00:00:00 UTC,289930.0
2017-06-06 00:00:00 UTC,297416.0
2017-06-07 00:00:00 UTC,339720.0
2017-06-08 00:00:00 UTC,307377.0
2017-06-09 00:00:00 UTC,282184.0
2017-06-10 00:00:00 UTC,254993.0
2017-06-11 00:00:00 UTC,222892.0
2017-06-12 00:00:00 UTC,269098.0
2017-06-13 00:00:00 UTC,293937.0
2017-06-14 00:00:00 UTC,287644.0
2017-06-15 00:00:00 UTC,293141.0
2017-06-16 00:00:00 UTC,269937.0
2017-06-17 00:00:00 UTC,236554.0
2017-06-18 00:00:00 UTC,209359.0
2017-06-19 00:00:00 UTC,273382.0
2017-06-20 00:00:00 UTC,271489.0
2017-06-21 00:00:00 UTC,282303.0
2017-06-22 00:00:00 UTC,269685.0
2017-06-23 00:00:00 UTC,259938.0
2017-06-24 00:00:00 UTC,227127.0
